location,sex,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Angola,Female,54.00451694848496,54.531653173140754,54.83640692216163,54.303673644609106,55.0120510135542,55.76167016220913,56.77053127862902,57.3449976947326,57.40139387837707,57.66727647704328,58.29456261735928,58.788197919148,59.45487086902652,60.08475859136397,60.69602137558294,61.39578234997287,61.65200142068539,62.53361646687877,63.13284860846952,63.60148166266198,64.13651050869677,64.5946013982252,65.17970328340732,65.8095971426519,66.4869038939868,66.8835456465694,67.06068146288905,67.19215365162296,67.41230341485523,67.63899477609907,66.97577886196157,66.0446044836946,67.74471841299976,67.91318832336236
Angola,Male,46.40403513653824,47.265207660476946,47.24120731873948,45.24130346339449,47.15114072044319,48.35933702851071,49.267165508240495,49.75978492549818,49.687255905569934,49.76278920021051,50.47746436245526,50.7620484977315,51.59310145185264,52.25693020594886,52.854431624034845,53.52031648627421,53.87662251080227,54.70940140029867,55.3645013334388,55.86835819176645,56.40535811413091,56.88556351413289,57.40954207525032,57.8961842920154,58.3942512281958,58.817607633509645,59.202579546798944,59.56056570660084,59.89328667588403,60.14432848341988,58.982688320463666,57.94406552759885,60.432536984126855,60.73878054045339
Antigua and Barbuda,Female,76.11513824323416,76.24884076489685,76.46517458129831,76.48906618936373,76.63194366277898,76.52777787487396,76.68365355688476,75.36794272698748,77.03784872541753,77.40865714947599,77.7399072880048,77.91108261414576,78.18759159813769,78.32182684226554,78.53833772571662,78.72990337132727,79.11965807500923,79.52061241722707,79.76555657584309,79.99116319780794,80.13026285729354,80.25846969063774,80.25318894638963,80.24404563173997,80.26962537731664,80.24225840780527,80.0866285195085,79.9251051065995,79.97699367762374,79.98085323345046,79.66363201762866,78.67776676278775,79.2186212623216,79.71707074949991
Antigua and Barbuda,Male,70.46193228868978,70.53649880705605,70.77577024334647,70.90531568864856,71.10164018177511,70.96559847934577,71.3495567860863,70.69839361455726,71.70042364780895,71.89253904537016,72.3665878955579,72.49501604384152,72.76180390365725,72.9678583708632,73.23875220924731,73.36566198550715,73.75549012852824,73.84815290682761,74.15443547230166,74.64784617913155,74.85045831837814,75.01072297632443,75.09043515139608,75.00741509385696,75.13895385292591,75.0768891842325,75.10507559763808,75.33611701612284,75.6054391097805,75.79740377559946,74.94321466216464,74.05869066174772,75.27098470332199,75.77834343664344
Argentina,Female,75.82844182767363,76.15664808393244,76.23668411899192,76.48124121153748,76.99916952178619,76.96200502613536,77.2492158027861,77.40755020027966,77.35728274907237,77.37097010779061,77.91679119998365,77.99011219203632,78.0167539331968,77.963658193566,78.29160345812113,78.6164642869267,78.76659555281857,78.46526698954439,78.92127131496595,79.04535834177443,78.90811420985216,79.1049936973254,79.36733548583048,79.43111140730748,79.6688570338108,79.67860751354621,79.41977074614974,79.78939408525562,80.10993820491757,80.31268434598263,79.51487329196836,77.76076502626915,79.36275715918168,80.32644454412616
Argentina,Male,68.92061863716641,69.13434830767164,69.11203588547174,69.2819487600831,69.69113897191214,69.61212668876531,69.72226274561761,69.8598679487614,69.88919750019264,69.93699299898216,70.54047618652675,70.61995070567114,70.58775810359577,70.75253657055424,71.38846589105734,71.74132253273756,71.93088276526395,71.64209566397415,72.15033243911085,72.4438341883398,72.51778292983174,72.73452613262828,72.85754628350173,73.03554151646811,73.41834442679736,73.48539341427089,73.32156612918907,73.83256828593173,74.10515802575907,74.52974619402663,73.33839333799833,71.41227275264187,73.18197739907875,74.65790266980105
Armenia,Female,73.72405883399655,73.3843803478466,72.95815294533176,72.93996394163676,73.38481349686754,73.80500238574562,74.1927529934808,74.55621913203358,74.95879927641633,75.20478454015823,75.43517356509115,75.64189059623558,75.64085366473518,75.72771251035668,75.92447769850187,76.32093893648114,76.49587278708462,76.54357918894766,76.76637687761966,77.02402748306676,77.28719383082459,77.53628148360089,77.77354317363181,78.2137376489555,78.59513689758606,78.96715987829313,79.2543709398975,79.45638850675702,79.99316912084817,80.29010384087377,76.72667071415646,78.04182675676317,80.98150244481161,82.5518357700207
Armenia,Male,67.01842357626843,66.30128438843919,65.7725521756027,65.73117069872967,66.24827356180084,66.60372255042459,67.21625488202932,68.06373931157542,68.85824384408845,69.30691440035483,69.67588131883323,69.81429367825993,69.8400359871856,69.86034249699709,69.93935220024161,70.02267956139889,70.03356005135127,70.04788693992545,70.20472361876698,70.38457943059227,70.66557499078984,70.91973100288689,71.32132082243825,71.76075311875643,72.09738537575353,72.43315520400893,72.5975958162398,73.1273667407969,73.71422265284313,74.03240765857305,65.088410352012815,71.74851123333853,73.99748906182013,76.32174986360069
Australia,Female,79.91116513780213,80.27066937497702,80.39206284417133,80.69618324126768,80.75397058018508,81.01934662656721,81.13884530552001,81.40371407486332,81.72678557297262,82.0223935599432,82.28654281016271,82.47425902298674,82.60494644868575,82.92626950638872,83.22346354717375,83.5266445757915,83.70052441583746,83.72939186443448,83.71325848994572,84.0062749444132,84.19126968753477,84.2798075768609,84.46240335745321,84.63452057339826,84.61303621628572,84.67167771673842,84.92465084274188,85.11389417212091,85.33429073974784,85.38881559199196,85.83382352261847,85.68021719628106,85.09349098021124,85.84619380479462
Australia,Male,73.75713688948602,74.2293466342171,74.44443863853405,74.79407495326073,74.89151978226394,75.24329216316708,75.40210956935765,75.76403363822,76.08012343553614,76.46419521968473,76.9070126708668,77.27479007715806,77.55567336787205,77.94221431448808,78.30344183171728,78.74849362578034,79.00415683285685,79.05378510559494,79.10901565564001,79.44385231707422,79.69882626246866,79.89912650525758,80.255820123554,80.4393099700937,80.45659224633401,80.50206038914024,80.72631938808414,80.98674937986529,81.21529548445183,81.21066634329449,81.73412443603185,81.70976726914289,81.06474760720084,81.90262725713532
Austria,Female,78.96363927018464,78.98815422863383,79.2183207491914,79.45544308528132,79.75558133151327,79.9189634127036,80.13250593129456,80.47765943483746,80.73330152213096,80.8703426120952,81.1664173453928,81.4642047652184,81.56020986639295,81.67865092491682,82.0399714381005,82.22871222232787,82.44910350075291,82.66693115804635,82.7913674532946,82.8820485077132,83.05663247361184,83.29334192429461,83.25661605248298,83.44225100622437,83.64383335058672,83.5820601612386,83.78140648058992,83.85149298346498,83.96823471272842,84.16332157435777,83.65868924848705,83.62252439399305,83.84263222386414,84.24159569996122
Austria,Male,72.27222480408041,72.38831225151127,72.550205486344,72.83358379808904,73.18264275460756,73.35905765385542,73.63347784562602,73.99270537823959,74.37000914709138,74.73161855818753,75.15171391858203,75.5323564964942,75.69573738473183,75.89252983754695,76.26929913815506,76.55664981466538,76.86659769772349,77.15784116897908,77.36227228160315,77.36894567879915,77.60672121956955,77.94378476555427,78.15229750575205,78.36322766750268,78.64893655189717,78.630973808096,78.94377341192069,79.15218656640354,79.26112503522457,79.49556679140234,78.83530518894862,78.68962735216552,79.06001243490472,79.53899131149706
Azerbaijan,Female,70.06842900696222,69.95014798582116,68.99147541990862,68.73568370825674,68.68382376969797,69.14573603164065,69.7613119803704,70.37430607683797,70.83771813343792,71.16875649868119,71.58363494017713,72.0371297791679,72.19595487579002,72.18760805884052,72.32564952910144,72.54642838070559,72.86814637688161,73.32762883960027,73.65073244016438,73.87518501341272,74.10298403545178,74.29226497500841,74.49462752090446,74.63115925933222,74.7813011421661,75.02947747864148,75.11218385256987,75.31108222482227,75.59615020239254,75.55567510287072,73.56177711003518,73.26778882812911,75.67751940986078,75.3890570524035
Azerbaijan,Male,62.06330358581542,61.72497277771848,60.051377153561546,60.40008567413691,60.32188656832117,60.939351870036795,61.87104396244121,62.83114590432285,63.76381597622529,64.59668995964545,65.34762315455976,66.0428315159046,66.32636689541397,66.4616638111989,66.61826010247042,66.80788802666642,67.21225092854553,67.7754852231799,68.20469906202095,68.5445345698325,68.7733417002832,68.85363583648937,68.97333137755886,69.2743200678478,69.53635984525573,69.77103340067065,69.86493167842465,70.05442132235375,70.31358704602907,70.21484014873785,66.84214367704817,68.54700702149364,70.48477916015392,69.88006687388433
Bahamas,Female,74.7479600301357,74.79024646283378,74.70486146244238,74.74789078974177,74.78584888874825,74.88413787022589,74.59131440522327,74.89594823174714,74.97499271325324,74.82657111760443,74.68606636234064,74.71642488490916,74.75978479310439,74.857880768482,74.7525133281644,75.0222729523636,75.41441093295596,75.63708972238534,75.61563233065536,75.42232081415756,75.46809432660865,75.5239482442382,75.81334164580372,76.0045588592874,75.84097890510975,75.45696662701943,75.73248787448402,75.80164625703131,75.85076564377827,72.22995061551526,74.55424328615757,71.0039140736732,74.61497042261078,75.78035172903265
Bahamas,Male,67.16344372780826,67.01774416709534,66.96300947868123,66.9559760593159,67.16587391966476,67.2876895933498,67.5685124455412,67.86307609528085,67.9783280270362,67.65121948310282,67.65786556485861,67.63120220535232,67.90925414654316,68.21613611458152,68.12324788329892,68.47945585003649,68.65065114540852,69.03963267750467,69.169356838854,69.21827773138162,69.26537020407362,69.54600466062291,69.74892808416193,69.80601282395028,69.74931213725363,69.6395053525954,69.80635361287325,69.87433433322562,69.91104605433291,67.7870378214127,67.89155393804698,64.02882169603683,68.47816762704193,69.84124829123277
Bahrain,Female,71.06701125322006,71.25229334353048,71.27021703001643,71.46105617472362,71.70831135026984,71.74479557678386,71.7902767079366,71.82616784577158,71.99434987325441,72.28157140320205,72.31503352833445,72.87084507752016,73.10097230508113,73.20761229020687,73.4280262973222,73.7693351689731,74.17398856940629,74.70275083330485,75.15034910522307,75.54653714672534,75.80347361441326,76.06962679903323,76.26316683354854,76.54215291713972,77.02328214600858,77.15372421313013,77.38743183276907,77.71761897737952,78.08488502432152,78.34447269977657,77.42804067168474,77.06582083174077,78.81314335242757,79.11775344391192
